Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541449206000016604";;AMR-meter;Afname Actief;10,750;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,500;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541449206000016604";;AMR-meter;Afname Actief;11,500;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541449206000016604";;AMR-meter;Afname Actief;11,000;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,500;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541449206000016604";;AMR-meter;Afname Actief;10,500;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541449206000016604";;AMR-meter;Afname Actief;11,500;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541449206000016604";;AMR-meter;Afname Actief;10,250;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541449206000016604";;AMR-meter;Afname Actief;11,750;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541449206000016604";;AMR-meter;Afname Actief;10,250;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541449206000016604";;AMR-meter;Afname Actief;10,750;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541449206000016604";;AMR-meter;Afname Actief;11,250;kWh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541449206000016604";;AMR-meter;Afname Actief;11,250;kWh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,500;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541449206000016604";;AMR-meter;Afname Actief;11,750;kWh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541449206000016604";;AMR-meter;Afname Actief;12,500;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541449206000016604";;AMR-meter;Afname Actief;12,750;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541449206000016604";;AMR-meter;Afname Capacitief;2,500;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541449206000016604";;AMR-meter;Afname Actief;11,500;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541449206000016604";;AMR-meter;Afname Actief;11,250;kWh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,500;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541449206000016604";;AMR-meter;Afname Actief;11,250;kWh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541449206000016604";;AMR-meter;Afname Actief;11,750;kWh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541449206000016604";;AMR-meter;Afname Capacitief;3,250;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541449206000016604";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541449206000016604";;AMR-meter;Afname Actief;12,750;kWh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541449206000016604";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
