Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000156430";;AMR-meter;Afname Actief;49,250;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000156430";;AMR-meter;Afname Inductief;11,750;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000156430";;AMR-meter;Afname Actief;52,250;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000156430";;AMR-meter;Afname Inductief;11,500;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000156430";;AMR-meter;Afname Actief;50,250;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000156430";;AMR-meter;Afname Inductief;9,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000156430";;AMR-meter;Afname Actief;50,250;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000156430";;AMR-meter;Afname Inductief;9,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000156430";;AMR-meter;Afname Actief;50,250;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000156430";;AMR-meter;Afname Inductief;9,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000156430";;AMR-meter;Afname Actief;49,750;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000156430";;AMR-meter;Afname Inductief;9,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000156430";;AMR-meter;Afname Actief;50,750;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000156430";;AMR-meter;Afname Inductief;10,500;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000156430";;AMR-meter;Afname Actief;54,250;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000156430";;AMR-meter;Afname Inductief;11,750;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000156430";;AMR-meter;Afname Actief;54,750;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000156430";;AMR-meter;Afname Inductief;11,750;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000156430";;AMR-meter;Afname Actief;54,750;kWh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000156430";;AMR-meter;Afname Inductief;12,500;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000156430";;AMR-meter;Afname Actief;52,250;kWh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000156430";;AMR-meter;Afname Inductief;13,250;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000156430";;AMR-meter;Afname Actief;52,000;kWh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000156430";;AMR-meter;Afname Inductief;14,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000156430";;AMR-meter;Afname Actief;51,000;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000156430";;AMR-meter;Afname Inductief;12,500;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000156430";;AMR-meter;Afname Actief;51,250;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000156430";;AMR-meter;Afname Inductief;12,750;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000156430";;AMR-meter;Afname Actief;51,000;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000156430";;AMR-meter;Afname Inductief;12,750;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000156430";;AMR-meter;Afname Actief;50,750;kWh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;03:45:00;01-06-2026;04:00:00;="541448810000156430";;AMR-meter;Afname Inductief;12,250;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000156430";;AMR-meter;Afname Actief;51,000;kWh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:00:00;01-06-2026;04:15:00;="541448810000156430";;AMR-meter;Afname Inductief;12,750;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000156430";;AMR-meter;Afname Actief;50,750;kWh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:15:00;01-06-2026;04:30:00;="541448810000156430";;AMR-meter;Afname Inductief;12,750;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000156430";;AMR-meter;Afname Actief;51,500;kWh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:30:00;01-06-2026;04:45:00;="541448810000156430";;AMR-meter;Afname Inductief;12,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000156430";;AMR-meter;Afname Actief;51,500;kWh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000156430";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000156430";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;04:45:00;01-06-2026;05:00:00;="541448810000156430";;AMR-meter;Afname Inductief;12,250;kVArh;Gevalideerd;
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448810000156430";;AMR-meter;Afname Actief;52,250;kWh;Gevalideerd;
