Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000120868";;AMR-meter;Afname Actief;58,800;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000120868";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000120868";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000120868";;AMR-meter;Afname Inductief;14,700;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000120868";;AMR-meter;Afname Actief;58,450;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000120868";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000120868";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000120868";;AMR-meter;Afname Inductief;14,350;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000120868";;AMR-meter;Afname Actief;58,800;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000120868";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000120868";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000120868";;AMR-meter;Afname Inductief;14,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000120868";;AMR-meter;Afname Actief;58,450;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000120868";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000120868";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000120868";;AMR-meter;Afname Inductief;14,350;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000120868";;AMR-meter;Afname Actief;58,800;kWh;Gevalideerd;
