Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448860000718718";;AMR-meter;Afname Actief;110,250;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448860000718718";;AMR-meter;Afname Actief;106,750;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448860000718718";;AMR-meter;Afname Actief;105,000;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448860000718718";;AMR-meter;Afname Capacitief;1,750;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448860000718718";;AMR-meter;Afname Actief;77,000;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448860000718718";;AMR-meter;Afname Actief;82,250;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448860000718718";;AMR-meter;Afname Inductief;1,750;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448860000718718";;AMR-meter;Afname Actief;78,750;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448860000718718";;AMR-meter;Afname Actief;101,500;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448860000718718";;AMR-meter;Afname Actief;98,000;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448860000718718";;AMR-meter;Afname Actief;110,250;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448860000718718";;AMR-meter;Afname Reactief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448860000718718";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448860000718718";;AMR-meter;Afname Inductief;0,000;kVArh;Gevalideerd;
