Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,440;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,620;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,440;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,415;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,405;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,410;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,405;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,430;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,405;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,410;kWh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,390;kWh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,620;kWh;Gevalideerd;
