Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000162660";;AMR-meter;Afname Actief;0,247;kWh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000162660";;AMR-meter;Afname Reactief;0,373;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,166;kVArh;Gevalideerd;
01-06-2026;00:00:00;01-06-2026;00:15:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000162660";;AMR-meter;Afname Actief;0,232;kWh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000162660";;AMR-meter;Afname Reactief;0,395;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,181;kVArh;Gevalideerd;
01-06-2026;00:15:00;01-06-2026;00:30:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000162660";;AMR-meter;Afname Actief;0,390;kWh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000162660";;AMR-meter;Afname Reactief;0,318;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,181;kVArh;Gevalideerd;
01-06-2026;00:30:00;01-06-2026;00:45:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000162660";;AMR-meter;Afname Actief;0,224;kWh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000162660";;AMR-meter;Afname Reactief;0,414;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,196;kVArh;Gevalideerd;
01-06-2026;00:45:00;01-06-2026;01:00:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000162660";;AMR-meter;Afname Actief;0,202;kWh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000162660";;AMR-meter;Afname Reactief;0,432;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,196;kVArh;Gevalideerd;
01-06-2026;01:00:00;01-06-2026;01:15:00;="541448810000162660";;AMR-meter;Afname Inductief;0,334;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000162660";;AMR-meter;Afname Actief;0,405;kWh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000162660";;AMR-meter;Afname Reactief;0,364;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,173;kVArh;Gevalideerd;
01-06-2026;01:15:00;01-06-2026;01:30:00;="541448810000162660";;AMR-meter;Afname Inductief;0,387;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000162660";;AMR-meter;Afname Actief;0,232;kWh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000162660";;AMR-meter;Afname Reactief;0,410;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,196;kVArh;Gevalideerd;
01-06-2026;01:30:00;01-06-2026;01:45:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000162660";;AMR-meter;Afname Actief;0,209;kWh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000162660";;AMR-meter;Afname Reactief;0,428;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,204;kVArh;Gevalideerd;
01-06-2026;01:45:00;01-06-2026;02:00:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000162660";;AMR-meter;Afname Actief;0,217;kWh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000162660";;AMR-meter;Afname Reactief;0,417;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,196;kVArh;Gevalideerd;
01-06-2026;02:00:00;01-06-2026;02:15:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000162660";;AMR-meter;Afname Actief;0,217;kWh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000162660";;AMR-meter;Afname Reactief;0,425;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,204;kVArh;Gevalideerd;
01-06-2026;02:15:00;01-06-2026;02:30:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000162660";;AMR-meter;Afname Actief;0,217;kWh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000162660";;AMR-meter;Afname Reactief;0,425;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,204;kVArh;Gevalideerd;
01-06-2026;02:30:00;01-06-2026;02:45:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000162660";;AMR-meter;Afname Actief;0,239;kWh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000162660";;AMR-meter;Afname Reactief;0,399;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,188;kVArh;Gevalideerd;
01-06-2026;02:45:00;01-06-2026;03:00:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000162660";;AMR-meter;Afname Actief;0,194;kWh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000162660";;AMR-meter;Afname Reactief;0,436;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,204;kVArh;Gevalideerd;
01-06-2026;03:00:00;01-06-2026;03:15:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000162660";;AMR-meter;Afname Actief;0,217;kWh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000162660";;AMR-meter;Afname Reactief;0,425;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,204;kVArh;Gevalideerd;
01-06-2026;03:15:00;01-06-2026;03:30:00;="541448810000162660";;AMR-meter;Afname Inductief;0,326;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000162660";;AMR-meter;Afname Actief;0,217;kWh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000162660";;AMR-meter;Afname Reactief;0,417;kVArh;Gevalideerd;
01-06-2026;03:30:00;01-06-2026;03:45:00;="541448810000162660";;AMR-meter;Afname Capacitief;0,196;kVArh;Gevalideerd;
